id,car_type,fault,description,solution,category,difficulty
1,تويوتا كورولا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع هيونداي إلنترا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
2,سكودا أوكتافيا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع نيسان صني.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
3,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
4,تويوتا كورولا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع فورد فوكس.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
5,نيسان صني,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع كيا سيراتو.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
6,كيا سيراتو,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع رينو لوجان.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
7,ميتسوبيشي لانسر,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع سكودا أوكتافيا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
8,شيفروليه أوبترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع بيجو 301.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
9,سكودا أوكتافيا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع فورد فوكس.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
10,بيجو 301,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
11,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
12,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
13,ميتسوبيشي لانسر,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع كيا سيراتو.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
14,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع كيا سيراتو.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
15,نيسان صني,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع نيسان صني.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
16,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
17,نيسان صني,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع شيفروليه أوبترا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
18,نيسان صني,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع رينو لوجان.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
19,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
20,فورد فوكس,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع فورد فوكس.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
21,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع فورد فوكس.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
